DyadID,ParticipantID,TrialNum,ClickTime_s,Clicked
18231016,1,6,11.661969,1
18231016,1,7,10.541420,1
18231016,1,8,37.736201,1
18231016,1,9,57.966997,1
18231016,1,10,9.110460,1
18231016,1,11,18.831076,1
18231016,1,12,9.442427,1
18231016,1,13,27.148143,1
18231016,1,14,33.399842,1
18231016,1,15,18.896858,1
18231016,1,16,25.452197,1
18231016,1,17,22.706918,1
18231016,1,18,16.619007,1
18231016,2,1,NaN,0
18231016,2,2,NaN,0
18231016,2,3,25.298782,1
18231016,2,4,24.887099,1
18231016,2,5,52.529468,1
18231016,2,6,11.835078,1
18231016,2,7,10.247085,1
18231016,2,8,30.491033,1
18231016,2,9,57.327059,1
18231016,2,10,17.900162,1
18231016,2,11,NaN,0
18231016,2,12,28.555792,1
18231016,2,13,27.484710,1
18231016,2,14,6.993382,1
18231016,2,15,40.863697,1
18231016,2,16,30.933363,1
18231016,2,17,23.040402,1
18231016,2,18,17.854972,1
19231020,1,1,26.227594,1
19231020,1,2,6.255063,1
19231020,1,3,NaN,0
19231020,1,4,14.728705,1
19231020,1,5,35.503701,1
19231020,1,6,30.205417,1
19231020,1,7,11.697575,1
19231020,1,8,21.941472,1
19231020,1,9,NaN,0
19231020,1,10,NaN,0
19231020,1,11,14.767651,1
19231020,1,12,51.551654,1
19231020,1,13,NaN,0
19231020,1,14,12.081445,1
19231020,1,15,19.180795,1
19231020,1,16,13.613174,1
19231020,1,17,37.686564,1
19231020,1,18,26.477270,1
19231020,2,1,40.058356,1
19231020,2,2,21.452594,1
19231020,2,3,22.112765,1
19231020,2,4,19.586410,1
19231020,2,5,12.502604,1
19231020,2,6,45.731371,1
19231020,2,7,32.341453,1
19231020,2,8,31.686813,1
19231020,2,9,22.427088,1
19231020,2,10,16.550479,1
19231020,2,11,34.409408,1
19231020,2,12,13.460595,1
19231020,2,13,14.545266,1
19231020,2,14,41.997668,1
19231020,2,15,22.892688,1
19231020,2,16,17.276963,1
19231020,2,17,15.529175,1
19231020,2,18,13.103740,1
20231023,1,1,45.337612,1
20231023,1,2,46.192977,1
20231023,1,3,37.321808,1
20231023,1,4,30.309816,1
20231023,1,5,NaN,0
20231023,1,6,16.883828,1
