dyad,pid,r_hR_full,r_hL_full,xc_peak_full,xc_lag_full,PLV_full,dphi_mu_full,r_hR_pre,r_hL_pre,xc_peak_pre,xc_lag_pre,PLV_pre,dphi_mu_pre,r_hR_post,r_hL_post,xc_peak_post,xc_lag_post,PLV_post,dphi_mu_post
24,2,-0.0011388113471278688,-0.1942407835498081,0.5331643470515208,6.1,0.9222705630079489,-0.34783680376944215,0.24946240740342554,0.05882462525605037,-0.7579466554713811,-4.7,0.9924770428033068,-0.24363034464493113,0.048303853603078206,-0.30888524312889726,0.8570862710516235,6.3,0.966897867944191,-0.431446688568011
25,1,0.016570831830806425,-0.029139802773630315,0.29952555335230785,-5.0,0.8377932336757954,-0.06566014065064114,-0.5319294717189985,-0.09215280800467654,0.6350556259517157,-5.0,0.881389501522355,-0.030937673137831214,0.06698376246618913,-0.00295950136338454,0.34137790966328274,4.0,0.9043010069923789,-0.021630775728973786
25,2,-0.2034871540017983,0.15186211968913502,-0.3903607522927819,5.2,0.8808675101536381,-0.023294212143057273,-0.07321550059802011,0.18941067564978042,-0.7302088739114173,-6.6,0.8065079983140319,0.012211572578065311,0.1011463372063059,0.35913032853031135,-0.4447098410189295,10.0,0.9536744833618865,-0.005113758463703156
26,1,0.5949392380743647,-0.5986915024699919,0.6162190483279643,2.1,0.4589567790547594,2.8207885251565896,-0.5225705853098828,-0.7334293086825654,-0.56056923218302,2.3,0.4104493034096483,-0.07634315753191688,0.31060582682596044,0.3378020567902484,0.8174557763458049,2.7,0.6683158154772262,-3.116444470043841
26,2,0.49786423153247106,0.5525053483609519,0.49786423153247067,0.0,0.6256020047986411,0.24348766958671883,0.917993010892939,0.9075630154514008,0.9179930108929392,0.0,0.5950358721509127,0.01554617243878077,-0.2115297801729148,0.03724311262892948,0.6796012002143766,8.0,0.27896969579014214,0.42714055178790383
27,1,0.06363574319484541,0.0801298349131844,-0.3696497789496242,-10.0,0.7754610051493108,-0.29539277592412694,0.6376816744050599,0.5560418414811917,0.745723169070741,-1.9,0.9518791122021668,0.05593609713357931,-0.19847090351849747,-0.24581846692424006,0.3634346205760111,6.8,0.764749185246493,-0.38432804428483525
27,2,-0.4017458723803331,-0.22690201564941084,-0.4190229072399438,10.0,0.9840529400004282,-0.0006996821433212768,0.7594281973520093,0.541320180746326,0.7594281973520097,0.0,0.9942425244136938,0.0001618388910966631,-0.5040464806203077,-0.09687667518149269,-0.5465097369460266,-2.4,0.9794637351588404,0.00029465483329285056
28,1,-0.057485860261560634,0.2563507685162254,-0.5667950507717199,6.2,0.9636112532155416,-9.382577587311062e-05,0.7091350867389341,-0.29800913478895397,0.8840146135378987,-1.8,0.7880020432735042,0.006890444515033902,0.05517671478573659,0.46981715697624155,-0.5024130756399691,-4.1,0.9839714057057662,-0.0001392257486863965
28,2,0.33889156791458225,0.10384372197439987,0.36351684386653726,-0.7,0.8550507849579599,0.3097088337329965,0.2154873775866385,0.1601625654620857,0.39229482597055687,-7.3,0.9512110265425131,0.33846833422180533,-0.1530313423885012,-0.4191691579039359,-0.2517535814957302,5.1,0.8458194349526016,0.3121867440586362
29,1,0.5012226434960271,0.30073779947075224,0.737080687769577,-1.4,0.7196155861386494,-0.024134443514975235,0.6589493863304912,0.4604541183473999,0.9265665179269342,-1.4,0.8252010831977132,0.12110410203060802,0.5196836479500015,0.5902457657813899,-0.7413859045238548,5.0,0.7085610096891674,-0.10496285749801941
29,2,0.465801277807952,0.547682163410432,0.7772865369893477,1.9,0.12255717708363284,0.19419418468479166,0.4063306780823034,0.5196744441365059,0.7526544276198606,1.9,0.5411937220196193,0.2408552823179721,0.5580882926298941,0.7287367075874215,0.789651621647258,2.4,0.27440125903143125,-1.1096266405081856
30,1,-0.09747082123992554,-0.1477257739612474,0.4187304267252352,10.0,0.9715776197891237,-0.07923016551479563,-0.12288880499033324,-0.21706416560021372,-0.7215752554406079,-3.9,0.8605654706402032,-0.026322003834962544,-0.8987408810446363,-0.891685264356751,-0.8987408810446362,0.0,0.8719534910239574,-0.1727798372361289
30,2,-0.3133003300377132,-0.2266606372469987,-0.5118766101998485,4.2,0.9188956102094276,0.000520029000280836,-0.6771451449053818,-0.6612704316562884,-0.6771451449053818,0.0,0.9638410004998017,-0.043733773766206935,-0.05932627774116459,-0.38175266618131615,-0.5682713533236238,4.7,0.8910916174216412,0.0038016068360298954
32,1,0.42155539582704477,0.04761464872428902,0.491657380701463,-1.9,0.7301192946355642,-0.1450919772968098,-0.5707474345100715,-0.46802233490699335,0.8191916743374534,6.6,0.9410382871666738,-0.1534022730560096,0.7598109102313632,0.584102194448861,0.762726964830098,-0.4,0.6791864178763928,-0.15159208788874567
32,2,-0.8227217262547188,-0.7075427031673756,-0.8227217262547187,0.0,0.7419548335843551,-0.051463495073540894,-0.4274255299761082,-0.44814903502978826,-0.4945854493667299,-6.4,0.9698376770977619,-0.0024452379630079727,-0.2138599754803787,0.10038349398064186,0.46567195370202724,4.7,0.44773404088716434,-0.2481834709128426
