channel,tau_star,A_free,B_free,R2_free,RMSE_free,trough_amp_free,t_trough_free,A_lock,B_lock,R2_lock,RMSE_lock,dR2
CPz,12.4,40.9556514868207,9.19091500177975,0.743528856924105,0.706055759791836,5.54274469410888,29.9110613997607,56.8372209453695,6.95032177013198,0.691358621829217,1.11454711118313,0.0521702350948875
CP2,14.8,18.638698162349,9.93288033068041,0.440748021088924,0.616345448996949,2.52247349496323,31.4281507409492,9.23491747529041,10.968234336563,0.0652863459544876,1.02553702346264,0.375461675134436
CP4,6.4,-39.7008395563615,10.5856283653934,0.527091716469489,1.10367955534627,-5.37292436609151,26.1183380467893,-39.0897190464079,10.6925294908162,0.424739826094811,1.33512959606646,0.102351890374679
CP6,5.5,-77.1020130768829,11.4718573653914,0.666976482013732,1.59897707135242,-10.434622777873,25.5494295438436,-82.5697216818172,12.2778270908621,0.625774631882264,1.87399603892219,0.0412018501314684
TP8,3.9,-74.015306787546,14.7992234263224,0.77338316254654,1.16321696913532,-10.0168825079373,24.5380366497179,-73.0486443087103,14.6910687295928,0.768521504542399,1.17660228136321,0.00486165800414118
TP10,4.1,-53.0885953323732,14.951643000786,0.870139127076525,0.595413319749628,-7.18476008594064,24.6644607614836,-52.7959533968194,14.9289285439414,0.865657131331648,0.610415007550096,0.00448199574487762
P7,3.9,-59.8101806073041,14.1748912690127,0.774544557563861,0.93685575059329,-8.09442773292245,24.5380366497179,-59.2922799726147,14.1169461358278,0.77368552464183,0.941157470400132,0.000859032922030267
P5,4.6,-50.138546054294,13.9518749571462,0.631955311757143,1.11072360596616,-6.78551433132983,24.9805210408979,-48.7611174872528,13.8270786571834,0.609724157399747,1.14494070681377,0.0222311543573961
P3,4.8,-17.5100250846209,12.7920852292636,0.156533667724753,1.17984681828492,-2.36972420430737,25.1069451526636,-15.1065279692053,12.5248635708392,0.120180262790476,1.1995963815055,0.036353404934277
P1,2.5,16.1738911821221,11.8167871993541,0.122709826845726,1.26921503036314,2.18889814417064,23.6530678673579,1.24626474791265,13.5136728893796,0.00143319338597292,0.965465342046403,0.121276633459753
Pz,2.5,22.9874796966895,11.0697289179984,0.23014664144162,1.23390513386673,3.11101707564736,23.6530678673579,7.0787597346355,12.8810028708468,0.046561385750202,0.940114614711943,0.183585255691418
P2,5.8,-15.9379399027865,13.455715640423,0.194715310888318,0.940638142587378,-2.15696561095173,25.7390657114922,-9.42394765930298,12.7385128712735,0.067352972247664,1.0292084667096,0.127362338640654
P4,4.6,-28.7623841539961,15.1244313291906,0.567588743289309,0.728758552268335,-3.89256540604132,24.9805210408979,-27.1671051522606,14.964821205556,0.520278456504752,0.765614704120296,0.0473102867845574
P6,3.4,-44.4779887221961,13.6723492829164,0.565146474054596,1.13284639570473,-6.01944120151328,24.2219763703036,-43.1598945037241,13.5036171140431,0.554628555133018,1.13509094313028,0.0105179189215786
