DyadID,ParticipantID,TrialNum,ClickTime_s,PAS
12,1,7,32.634623,4
12,1,8,19.647963,4
12,1,9,12.061999,4
12,1,10,14.578057,4
12,1,11,19.74541,4
12,1,12,19.083672,4
12,1,13,26.637182,4
12,1,14,19.170932,4
12,1,15,42.034656,4
12,1,16,22.134792,4
12,1,17,16.173146,4
12,1,18,35.223403,4
12,2,1,36.425162,2
12,2,4,11.954882,2
12,2,5,12.408561,2
12,2,6,48.717538,2
12,2,8,21.035974,4
12,2,9,29.213882,4
12,2,10,14.699517,2
12,2,11,21.879772,4
12,2,12,17.014879,4
12,2,13,27.040571,4
12,2,14,24.594451,4
12,2,15,42.454712,4
12,2,16,31.31289,4
12,2,17,23.862937,4
12,2,18,36.184562,4
13,1,1,46.02351,3
13,1,2,20.828339,4
13,1,3,25.165987,4
13,1,4,15.292905,4
13,1,5,38.353703,4
13,1,6,15.955635,4
13,1,7,51.198779,3
13,1,8,50.742455,4
13,1,9,30.328998,4
13,1,10,40.249524,4
13,1,11,34.156855,4
13,1,12,37.253132,4
13,1,13,47.953381,4
13,1,14,23.761336,4
13,1,15,29.34348,4
13,1,16,42.056847,4
13,1,17,50.249331,4
13,1,18,49.679343,4
13,2,1,28.435845,3
13,2,2,18.979633,4
13,2,4,28.818647,2
13,2,5,49.526377,3
13,2,7,27.433092,2
13,2,8,28.025067,3
13,2,9,31.204676,4
13,2,10,47.988666,2
13,2,11,34.990062,4
13,2,13,20.87523,3
13,2,14,22.846113,3
13,2,15,29.986013,4
13,2,16,18.854198,3
13,2,17,18.610669,3
13,2,18,50.326115,3
14,1,1,50.377459,3
14,1,3,35.02831,3
14,1,4,25.435464,3
14,1,5,24.889467,4
14,1,6,37.971338,3
14,1,7,13.500094,3
14,1,8,16.499298,4
14,1,9,21.489355,4
14,1,10,29.844364,4
14,1,11,45.084766,3
14,1,12,33.680321,3
14,1,13,26.477847,3
14,1,14,47.314622,3
14,1,15,53.674527,4
14,1,16,57.296756,3
14,1,17,43.007916,4
14,1,18,19.185789,4
14,2,1,2.32568,2
14,2,2,23.970307,3
14,2,3,25.921775,2
14,2,4,24.726123,3
14,2,5,2.602284,3
14,2,6,21.460031,3
14,2,7,15.955539,3
14,2,8,14.642703,4
14,2,9,18.020585,3
14,2,10,28.138836,4
14,2,11,23.671578,3
14,2,12,36.079425,2
14,2,13,22.978349,3
14,2,14,22.004663,2
14,2,15,28.16105,3
14,2,16,47.911613,3
14,2,17,18.853288,2
14,2,18,17.276217,3
15,1,1,27.920555,2
15,1,2,21.494552,3
15,1,3,48.621986,2
15,1,4,58.847386,2
15,1,5,50.139453,2
15,1,6,30.412431,3
15,1,7,13.002215,3
15,1,8,21.629231,4
15,1,9,53.11858,3
15,1,10,15.558459,4
15,1,11,19.141464,4
15,1,12,38.822804,4
15,1,13,13.147397,4
15,1,15,26.222876,3
15,1,16,9.425567,4
15,1,17,13.300569,4
15,1,18,36.450725,4
15,2,1,2.459408,1
15,2,2,23.441605,2
15,2,3,25.576303,3
15,2,4,14.286983,3
15,2,6,22.359456,2
15,2,7,42.769436,4
15,2,8,15.448483,3
15,2,9,15.398635,3
15,2,10,8.194186,3
15,2,11,17.44878,4
15,2,12,13.0309,2
15,2,13,11.664681,3
15,2,14,52.348385,2
15,2,15,9.194168,1
15,2,16,11.310478,4
15,2,17,11.411618,4
15,2,18,23.067931,3
16,1,1,25.254911,3
16,1,2,30.249627,3
16,1,3,27.731391,3
16,1,4,43.848194,4
16,1,5,14.147252,3
16,1,6,39.638986,4
16,1,7,31.162995,4
16,1,8,38.922311,3
16,1,9,18.361978,4
16,1,10,23.032982,3
16,1,11,28.398612,4
16,1,12,28.257867,3
16,1,13,12.254652,4
16,1,14,16.258115,4
16,1,15,25.599694,4
16,1,16,21.738083,4
16,1,17,25.25408,4
16,1,18,24.347402,4
16,2,13,3.069761,4
16,2,14,19.641091,3
16,2,15,21.612578,4
16,2,16,36.978055,4
16,2,17,37.83039,3
17,1,1,43.583183,3
17,1,2,36.698347,2
17,1,3,39.522717,4
17,1,5,34.555984,2
17,1,6,38.133882,4
17,1,7,25.897342,4
17,1,8,20.609207,4
17,1,9,53.587845,3
17,1,10,42.878622,3
17,1,11,12.030676,4
17,1,12,50.117212,4
17,1,13,13.939692,4
17,1,14,23.923303,4
17,1,17,35.98162,3
17,1,18,12.223386,3
17,2,1,37.812147,2
17,2,3,54.736366,2
17,2,4,30.778582,2
17,2,5,46.071596,2
17,2,6,26.734783,2
17,2,8,22.360274,3
17,2,10,42.994233,2
17,2,13,49.557157,2
17,2,14,25.014161,2
17,2,15,19.596011,2
17,2,17,40.594512,2
18,1,2,13.883615,3
18,1,3,8.824517,4
18,1,4,25.088304,4
18,1,5,6.795964,4
18,1,6,11.661969,4
18,1,7,10.54142,4
18,1,8,37.736201,4
18,1,9,57.966997,3
18,1,10,9.11046,3
18,1,11,18.831076,4
18,1,12,9.442427,4
18,1,13,27.148143,4
18,1,14,33.399842,4
18,1,15,18.896858,4
18,1,16,25.452197,4
18,1,17,22.706918,4
18,1,18,16.619007,4
18,2,3,25.298782,3
18,2,4,24.887099,4
18,2,5,52.529468,3
18,2,6,11.835078,4
18,2,7,10.247085,4
18,2,8,30.491033,3
